SOLUCION [0.09536888685435263, 7.401541161211567]
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g11m int#1;11.0;17.0;5.0;16.0;11.0;17.0;5.0;16.0;65.0;24.0
g21m int#2;10.0;17.0;5.0;17.0;10.0;17.0;5.0;17.0;65.0;24.0
g31m int#3;11.0;17.0;5.0;16.0;11.0;17.0;5.0;16.0;65.0;24.0
X11m int#1;0.704417051874679;0.4322450567719571;0.5508474576271186;0.6715243568691844;0.4707241910631741;0.6460684093240423;0.5508474576271186;0.6715243568691844
X21m int#2;0.6279661016949152;0.5219129142937993;0.5361581920903954;0.6110950127177307;0.6279661016949152;0.5219129142937993;0.5361581920903954;0.6110950127177307
X31m int#3;0.4707241910631741;0.6460684093240423;0.5508474576271186;0.6715243568691844;0.704417051874679;0.4322450567719571;0.5508474576271186;0.6715243568691844
S11m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S21m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S31m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q11m int#1;211.0;564.0;75.0;302.0;141.0;843.0;75.0;302.0
q21m int#2;170.99999999999997;681.0;72.99999999999999;291.99999999999994;170.99999999999997;681.0;72.99999999999999;291.99999999999994
q31m int#3;141.0;843.0;75.0;302.0;211.0;564.0;75.0;302.0
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g12m int#1;11.000000061737188;17.00000010289531;5.0;16.000000082316248;11.000000061737188;17.00000010289531;5.0;16.000000082316248;84.72512184187889;42.93611696820373
g22m int#2;10.000000061737188;17.00000007202672;5.000000010289531;17.00000010289531;10.000000061737188;17.00000007202672;5.000000010289531;17.00000010289531;84.72512184187889;42.93611696820373
g32m int#3;11.000000051447655;17.000000082316248;5.000000010289531;16.00000010289531;11.000000051447655;17.000000082316248;5.000000010289531;16.00000010289531;84.72512184187889;42.93611696820373
X12m int#1;0.9783786057457776;0.5876404869751468;0.7491232524437315;0.9368977659580466;0.640043824737323;0.8973192816411826;0.7690679609752471;0.9125031605541377
X22m int#2;0.8699881807736544;0.7077658916751167;0.7259873890531592;0.848824288833974;0.8508412607016071;0.7235828193883928;0.744336520864393;0.8270012755163355
X32m int#3;0.651285388273941;0.874592855026834;0.744336520864393;0.9286857193800852;0.9537196944100582;0.5980463611757831;0.7618878643360077;0.9286857193800852
S12m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S22m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S32m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q12m int#1;224.83333333333334;588.25;78.25;323.24999999999994;147.08333333333334;898.25;80.33333333333333;314.8333333333333
q22m int#2;181.74999999999997;708.5;75.83333333333333;311.1666666666667;177.75;724.3333333333334;77.75;303.16666666666663
q32m int#3;149.66666666666669;875.5;77.75;320.4166666666667;219.16666666666666;598.6666666666667;79.58333333333333;320.4166666666667
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g13m int#1;11.000010438371302;17.000017397285504;5.0;16.0000139178284;11.000010438371302;17.000017397285504;5.0;16.0000139178284;86.07310786373517;44.230183549185774
g23m int#2;10.000010438371302;17.00001217809985;5.0000017397285506;17.000017397285504;10.000010438371302;17.00001217809985;5.0000017397285506;17.000017397285504;86.07310786373517;44.230183549185774
g33m int#3;11.000008698642752;17.0000139178284;5.0000017397285506;16.000017397285504;11.000008698642752;17.0000139178284;5.0000017397285506;16.000017397285504;86.07310786373517;44.230183549185774
X13m int#1;1.0550982151808352;0.6215995733527544;0.7926506543383521;1.0143732849514988;0.6771195947983154;0.9676656215377165;0.8331747164210899;0.964807875285267
X23m int#2;0.9361048569702366;0.7469345737864321;0.7650940259109064;0.9154443972353562;0.8972017979792658;0.7790717044520621;0.80237615005487;0.8711040026164892
X33m int#3;0.699960518819427;0.9214898418362822;0.7829246070232366;0.9976876825562726;1.004995944915472;0.6427425475363202;0.8185857692478975;0.9976876825562726
S13m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S23m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S33m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q13m int#1;238.66666666666669;612.5;81.5;344.49999999999994;153.16666666666669;953.5;85.66666666666666;327.66666666666663
q23m int#2;192.49999999999997;736.0000000000001;78.66666666666667;330.33333333333337;184.5;767.6666666666667;82.5;314.3333333333333
q33m int#3;158.33333333333334;908.0;80.49999999999999;338.8333333333333;227.33333333333331;633.3333333333334;84.16666666666666;338.8333333333333
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g14m int#1;11.000209884053449;17.00034980675575;5.0;16.0002798454046;11.000209884053449;17.00034980675575;5.0;16.0002798454046;86.90393880577754;45.02778125354644
g24m int#2;10.000209884053449;17.000244864729023;5.000034980675575;17.00034980675575;10.000209884053449;17.000244864729023;5.000034980675575;17.00034980675575;86.90393880577754;45.02778125354644
g34m int#3;11.000174903377875;17.0002798454046;5.000034980675575;16.00034980675575;11.000174903377875;17.0002798454046;5.000034980675575;16.00034980675575;86.90393880577754;45.02778125354644
X14m int#1;1.127006978492829;0.6524347024009604;0.8322156851739714;1.0873207339739885;0.7107954903959723;1.0335979678790244;0.8935885233136445;1.0122562130366182
X24m int#2;0.9979014037919323;0.7823116925786617;0.8002962103609215;0.9778905195201997;0.9389847157451764;0.8309820336362733;0.8567588264293301;0.9107392392097994
X34m int#3;0.7453891640343406;0.9636707700366487;0.8174804848165239;1.0620468454937058;1.0511326235334562;0.684457282705456;0.8714882045341321;1.0620468454937058
S14m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S24m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S34m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q14m int#1;252.50000000000003;636.75;84.75;365.74999999999994;159.25000000000003;1008.7499999999999;90.99999999999997;340.49999999999994
q24m int#2;203.24999999999997;763.5000000000001;81.5;349.50000000000006;191.25;811.0000000000001;87.25;325.49999999999994
q34m int#3;167.00000000000003;940.5;83.24999999999999;357.25;235.5;668.0000000000001;88.74999999999999;357.25
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g15m int#1;11.001764894073236;17.00294149012206;5.0;16.002353192097647;11.001764894073236;17.00294149012206;5.0;16.002353192097647;87.51321328184596;45.612684750572114
g25m int#2;10.001764894073236;17.002059043085442;5.000294149012206;17.00294149012206;10.001764894073236;17.002059043085442;5.000294149012206;17.00294149012206;87.51321328184596;45.612684750572114
g35m int#3;11.00147074506103;17.002353192097647;5.000294149012206;16.00294149012206;11.00147074506103;17.002353192097647;5.000294149012206;16.00294149012206;87.51321328184596;45.612684750572114
X15m int#1;1.19691560371255;0.6819264339739335;0.8701878834805025;1.1584097294068032;0.7430164448578535;1.0976849103604618;0.9525920391131252;1.0576350673309314
X25m int#2;1.0578826532403949;0.8160844260296223;0.8338809979477794;1.038591813358298;0.9787886230915804;0.8814262047677713;0.9096883613975774;0.9484427952006157
X35m int#3;0.789476080512026;1.0038386966770736;0.8503608595673003;1.1244442475469052;1.095079724581197;0.7249372979086233;0.9228722506931942;1.1244442475469052
S15m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S25m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S35m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q15m int#1;266.3333333333333;661.0;88.00000000000001;386.99999999999994;165.33333333333337;1064.0;96.3333333333333;353.33333333333326
q25m int#2;213.99999999999997;791.0000000000002;84.33333333333334;368.66666666666674;198.00000000000003;854.3333333333335;92.0;336.66666666666663
q35m int#3;175.66666666666669;973.0000000000001;85.99999999999997;375.6666666666667;243.66666666666666;702.6666666666667;93.33333333333331;375.6666666666667
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g16m int#1;11.009204540117228;17.01534090019538;5.0;16.012272720156304;11.009204540117228;17.01534090019538;5.0;16.012272720156304;87.99745013093658;46.077552125699114
g26m int#2;10.009204540117228;17.010738630136768;5.001534090019538;17.01534090019538;10.009204540117228;17.010738630136768;5.001534090019538;17.01534090019538;87.99745013093658;46.077552125699114
g36m int#3;11.00767045009769;17.012272720156304;5.001534090019538;16.01534090019538;11.00767045009769;17.012272720156304;5.001534090019538;16.01534090019538;87.99745013093658;46.077552125699114
X16m int#1;1.2651946420999052;0.7103378781460806;0.9073183417455327;1.2280180649956838;0.774094401784505;1.1602271727325806;1.0108934949128305;1.1014311854645917
X26m int#2;1.116341211622124;0.8486958842196203;0.8664510389257051;1.0978323370639411;1.0170005031351723;0.9307831464888768;0.9617109523831199;0.984605108488373
X36m int#3;0.8325403266556931;1.0425006219822115;0.8821896333230166;1.1851775630647348;1.1374036469952549;0.7644658961792316;0.9733078114127177;1.1851775630647348
S16m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S26m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S36m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q16m int#1;280.1666666666667;685.25;91.25000000000001;408.24999999999994;171.4166666666667;1119.25;101.66666666666663;366.1666666666666
q26m int#2;224.74999999999997;818.5000000000002;87.16666666666669;387.8333333333334;204.75000000000003;897.6666666666669;96.75;347.83333333333326
q36m int#3;184.33333333333337;1005.5000000000001;88.74999999999997;394.08333333333337;251.83333333333331;737.3333333333335;97.91666666666663;394.08333333333337
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g17m int#1;11.035486678073557;17.059144463455926;5.0;16.04731557076474;11.035486678073557;17.059144463455926;5.0;16.04731557076474;88.40082199719572;46.46478911730789
g27m int#2;10.035486678073557;17.04140112441915;5.005914446345593;17.059144463455926;10.035486678073557;17.04140112441915;5.005914446345593;17.059144463455926;88.40082199719572;46.46478911730789
g37m int#3;11.029572231727963;17.04731557076474;5.005914446345593;16.059144463455926;11.029572231727963;17.04731557076474;5.005914446345593;16.059144463455926;88.40082199719572;46.46478911730789
X17m int#1;1.3305735210401408;0.7369498795287817;0.9439409806480221;1.295026129059602;0.8033224489272962;1.2199402868309432;1.0688008987231568;1.1427587960735484
X27m int#2;1.172021313961384;0.879645860571386;0.8979292592557723;1.1543962790006617;1.0525796513920713;0.9784240600445322;1.0126646646051207;1.0182512632954235
